job_title,job_skill_set
Data Scientist,"Python, Pandas, NumPy, Machine Learning, Scikit-learn, SQL, Data Visualization, Deep Learning"
Frontend Developer,"HTML, CSS, JavaScript, React, Redux, Webpack, UI Design, Git"
Backend Developer,"Node.js, Express, MongoDB, PostgreSQL, REST APIs, Docker, Git, Authentication"
DevOps Engineer,"AWS, Jenkins, Docker, Kubernetes, Terraform, CI/CD, Linux, Python"
Full Stack Developer,"React, Node.js, MongoDB, Express, HTML, CSS, Git, REST APIs"
Cloud Engineer,"Azure, AWS, GCP, DevOps, Bash, Python, Networking, Cloud Security"
AI/ML Engineer,"TensorFlow, PyTorch, Scikit-learn, Machine Learning, Deep Learning, Python, NLP, Computer Vision"
Cybersecurity Analyst,"Network Security, Threat Analysis, Python, Wireshark, Vulnerability Assessment, Firewall, SIEM"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Optimization, Backup and Recovery, Data Modeling"
Mobile App Developer,"Java, Kotlin, Swift, Flutter, Dart, Android Studio, Xcode, Mobile UI/UX"
Business Analyst,"Excel, SQL, Power BI, Tableau, Requirement Analysis, JIRA, Communication, Agile"
QA Engineer,"Selenium, Postman, TestNG, JUnit, Automation Testing, Manual Testing, Bug Tracking, Python"
Software Engineer,"Java, Spring Boot, Git, SQL, REST APIs, Microservices, Unit Testing"
Site Reliability Engineer,"Monitoring, Incident Management, Kubernetes, Docker, Python, Prometheus, Grafana"
Technical Support Engineer,"Customer Support, Troubleshooting, Networking, Linux, Windows, SQL, Ticketing Systems"
Network Engineer,"Routing, Switching, Network Security, Cisco, VPN, Firewalls, LAN/WAN"
System Administrator,"Linux, Windows Server, Active Directory, Bash, PowerShell, Virtualization, Monitoring"
Product Manager,"Agile, Scrum, Roadmap Planning, User Stories, JIRA, Communication, UX Understanding"
UI/UX Designer,"Figma, Adobe XD, Prototyping, Wireframes, User Research, Interaction Design"
AI Research Scientist,"Deep Learning, Python, PyTorch, NLP, Reinforcement Learning, Research Papers, Data Science"
Big Data Engineer,"Hadoop, Spark, Kafka, Hive, Scala, SQL, ETL, Data Pipelines"
IT Project Manager,"Project Planning, MS Project, Agile, Budgeting, Risk Management, Scrum, Communication"
Data Engineer,"Python, SQL, Airflow, Spark, ETL, BigQuery, Data Warehousing, Pipelines"
Game Developer,"Unity, Unreal Engine, C#, C++, Game Physics, Animation, 3D Modeling"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, ARM, Embedded Linux, UART, I2C"
Cloud Solutions Architect,"AWS, Azure, GCP, Cloud Architecture, DevOps, Infrastructure as Code, Networking"
Security Engineer,"Penetration Testing, Vulnerability Assessment, SIEM, Firewalls, IDS/IPS, Python"
IT Auditor,"Risk Assessment, Compliance, ISO 27001, IT Controls, Internal Auditing, SOC 2"
Penetration Tester,"Ethical Hacking, Metasploit, Kali Linux, Burp Suite, Python, Security Assessment"
Blockchain Developer,"Ethereum, Solidity, Smart Contracts, Web3, Cryptography, DApps"
Data Analyst,"Excel, SQL, Tableau, Power BI, Python, Data Cleaning, Data Visualization"
Machine Learning Engineer,"Scikit-learn, TensorFlow, Model Deployment, Python, MLOps, Feature Engineering"
IT Support Specialist,"Help Desk, Troubleshooting, Windows, Active Directory, Networking, Customer Service"
CRM Developer,"Salesforce, CRM Customization, Apex, Visualforce, Integration, JavaScript"
AR/VR Developer,"Unity3D, C#, 3D Modeling, Augmented Reality, Virtual Reality, Oculus SDK"
Chatbot Developer,"Dialogflow, Rasa, Python, NLP, Bot Framework, Integration"
BI Developer,"Power BI, SQL Server, DAX, Data Modeling, SSIS, ETL"
SAP Consultant,"SAP ERP, SAP FICO, SAP HANA, ABAP, Business Process, SAP Modules"
IoT Developer,"Arduino, Raspberry Pi, MQTT, C/C++, Sensors, Wireless Communication"
Robotics Engineer,"ROS, Python, C++, Robot Kinematics, Embedded Systems, Sensors"
Game Designer,"Game Mechanics, Storyboarding, Level Design, Unity, Blender, 3D Design"
API Developer,"RESTful APIs, JSON, Swagger, Node.js, Python, OAuth"
Infrastructure Engineer,"Networking, Load Balancers, Virtualization, Linux, Monitoring, Terraform"
Web Developer,"HTML, CSS, JavaScript, PHP, Laravel, Web Hosting, SEO"
IT Consultant,"IT Strategy, Systems Integration, Project Management, Analysis, Client Communication"
Firmware Engineer,"Embedded C, ARM, Real-Time Systems, Firmware Debugging, Microcontrollers"
NLP Engineer,"Text Processing, BERT, Spacy, NLTK, LLMs, Transformers"
Ethical Hacker,"CEH, Exploit Development, Kali Linux, Vulnerability Scanning, Python, Social Engineering"
Release Engineer,"Build Automation, CI/CD, Jenkins, Docker, Scripting, Configuration Management"
Technical Writer,"Documentation, API Guides, Markdown, Confluence, Technical Communication"
Systems Analyst,"Business Requirements, Software Evaluation, UML, Process Mapping, SQL"
Data Quality Analyst,"Data Validation, ETL Testing, SQL, Data Integrity, Reporting"
Computer Vision Engineer,"OpenCV, Python, Deep Learning, Image Processing, CNN"
IT Trainer,"Technical Training, Curriculum Development, Public Speaking, Mentoring, eLearning Tools"
Information Security Analyst,"Cybersecurity, Risk Management, Network Security, Threat Detection, Compliance"
Scrum Master,"Agile, Scrum Framework, JIRA, Facilitation, Sprint Planning, Team Management"
Help Desk Technician,"Ticketing Systems, Windows Troubleshooting, Networking Basics, Customer Support"
Virtualization Engineer,"VMware, Hyper-V, Virtual Machines, Linux, Storage Management"
Application Support Engineer,"Incident Management, SQL, Monitoring Tools, App Debugging, Java, Linux"
Software Tester,"Test Cases, Manual Testing, Automation Scripts, Selenium, Defect Tracking"
Sitecore Developer,"Sitecore CMS, .NET, C#, MVC, Web Development"
ServiceNow Developer,"ServiceNow Platform, JavaScript, ITSM, Workflows, Integration"
Software Architect,"Design Patterns, Architecture Design, Microservices, UML, Cloud, Scalable Systems"
IT Compliance Analyst,"Auditing, GDPR, HIPAA, ISO Standards, Policy Writing, Risk Assessment"
3D Game Developer,"Unity3D, C++, Physics Engines, Game Optimization, Animation"
Platform Engineer,"Platform Automation, Python, CI/CD, Cloud, Monitoring, Kubernetes"
Hardware Design Engineer,"PCB Design, Circuit Analysis, CAD Tools, Embedded Systems"
AI Product Manager,"AI Concepts, Roadmaps, Data Understanding, Stakeholder Communication, Agile"
Cloud Security Engineer,"IAM, Cloud Security, AWS/GCP, Firewalls, Threat Modeling"
Test Automation Engineer,"Selenium, TestNG, CI/CD, Jenkins, Python, Automation Frameworks"
Data Warehouse Developer,"ETL, SQL, Snowflake, Redshift, Star Schema, Data Modeling"
Data Governance Analyst,"Data Stewardship, Policy Management, Metadata, Data Quality, Compliance"
IT Infrastructure Manager,"Team Leadership, Servers, Networking, Virtualization, Budgeting, Procurement"
Business Intelligence Analyst,"Power BI, SQL, DAX, Reporting, Data Analysis"
Software Configuration Manager,"Source Control, Git, Build Management, CI Tools, Deployment Pipelines"
